,Drug,Model,Metric,Score
265,Chocolate,Linear_SVC,Recall,0.8004291845493562
266,Chocolate,Linear_SVC,Accuracy,0.7923728813559322
267,Chocolate,Linear_SVC,F1_Score,0.8838862559241706
268,Chocolate,SGD,Precision,0.9863013698630136
269,Chocolate,SGD,Recall,0.7725321888412017
270,Chocolate,SGD,Accuracy,0.7648305084745762
271,Chocolate,SGD,F1_Score,0.8664259927797834
272,Chocolate,SGD,AUC,0.5214592274678111
273,Cocaine,Logistic_Regression,Precision,0.5141509433962265
274,Cocaine,Logistic_Regression,Recall,0.6337209302325582
275,Cocaine,Logistic_Regression,Accuracy,0.6483050847457628
276,Cocaine,Logistic_Regression,F1_Score,0.5677083333333333
277,Cocaine,Logistic_Regression,AUC,0.7117635658914727
278,Cocaine,NB_Gaussian,Precision,0.4197860962566845
279,Cocaine,NB_Gaussian,Recall,0.9127906976744186
280,Cocaine,NB_Gaussian,Accuracy,0.5084745762711864
281,Cocaine,NB_Gaussian,F1_Score,0.575091575091575
282,Cocaine,NB_Gaussian,AUC,0.670968992248062
283,Cocaine,KNN,Precision,0.48148148148148145
284,Cocaine,KNN,Recall,0.5290697674418605
285,Cocaine,KNN,Accuracy,0.6207627118644068
286,Cocaine,KNN,F1_Score,0.5041551246537397
287,Cocaine,KNN,AUC,0.6012015503875969
288,Cocaine,Decision_Tree,Precision,0.49171270718232046
289,Cocaine,Decision_Tree,Recall,0.5174418604651163
290,Cocaine,Decision_Tree,Accuracy,0.6292372881355932
291,Cocaine,Decision_Tree,F1_Score,0.5042492917847027
292,Cocaine,Decision_Tree,AUC,0.6053875968992248
293,Cocaine,Random_Forest,Precision,0.5294117647058824
294,Cocaine,Random_Forest,Recall,0.47093023255813954
295,Cocaine,Random_Forest,Accuracy,0.6546610169491526
296,Cocaine,Random_Forest,F1_Score,0.49846153846153846
297,Cocaine,Random_Forest,AUC,0.7098158914728682
298,Cocaine,SVC,Precision,0.5258620689655172
299,Cocaine,SVC,Recall,0.7093023255813954
300,Cocaine,SVC,Accuracy,0.6610169491525424
301,Cocaine,SVC,F1_Score,0.603960396039604
302,Cocaine,SVC,AUC,0.7208430232558141
303,Cocaine,Linear_SVC,Precision,0.5480769230769231
304,Cocaine,Linear_SVC,Recall,0.6627906976744186
305,Cocaine,Linear_SVC,Accuracy,0.6779661016949152
306,Cocaine,Linear_SVC,F1_Score,0.6
307,Cocaine,SGD,Precision,0.5254237288135594
308,Cocaine,SGD,Recall,0.5406976744186046
309,Cocaine,SGD,Accuracy,0.6546610169491526
310,Cocaine,SGD,F1_Score,0.5329512893982807
311,Cocaine,SGD,AUC,0.6666279069767441
312,Crack,Logistic_Regression,Precision,0.16417910447761194
313,Crack,Logistic_Regression,Recall,0.5789473684210527
314,Crack,Logistic_Regression,Accuracy,0.7288135593220338
315,Crack,Logistic_Regression,F1_Score,0.2558139534883721
316,Crack,Logistic_Regression,AUC,0.7497574581615329
317,Crack,NB_Gaussian,Precision,0.08665105386416862
318,Crack,NB_Gaussian,Recall,0.9736842105263158
319,Crack,NB_Gaussian,Accuracy,0.1716101694915254
320,Crack,NB_Gaussian,F1_Score,0.15913978494623657
321,Crack,NB_Gaussian,AUC,0.6441304875090953
